Protein IDs,Filtered Protein IDs,Gene names,Remapped Gene Names
P68035,P68035,,Actc1
P62738,P62738,,Acta2
P60711,P60711,,Actb
P63259,P63259,,Actg1
P04764,P04764,,Eno1
P02650,P02650,,Apoe
B0BNA5,B0BNA5,,Cotl1
Q5BK06,Q5BK06,,Ccndbp1
P47967,P47967,,Lgals5
O35276,O35276,,Nrp2
F1M6X9,F1M6X9,,Zdhhc11
Q5FVJ3,Q5FVJ3,,Plpp7
D4A9H6,D4A9H6,,Dennd2b
Q5XI73,Q5XI73,,Arhgdia
Q5RKI9,Q5RKI9,,Mrrf
P29457,P29457,,Serpinh1
P52631,P52631,,Stat3
P07632,P07632,,Sod1
Q63610,Q63610,,Tpm3
G3V8C3,G3V8C3,,Vim
P63039,P63039,,Hspd1
Q7TP84,Q7TP84,,Plg
P14046,P14046,,A1i3
Q63041,Q63041,,A1m
F1LM19,F1LM19,,Ahsg
P00762,P00762,,Prss1
P07150,P07150,,Anxa1
Q07936,Q07936,,Anxa2
P04639,P04639,,Apoa1
P04638,P04638,,Apoa2
P06759,P06759,,Apoc3
Q6MG74,Q6MG74,,Cfb
B5DF65,B5DF65,,Blvrb
Q68FR2,Q68FR2,,Bin2
P69478,P69478,,Chst11
P04762,P04762,,Cat
Q5XJW6,Q5XJW6,,Cfh
P02454,P02454,,Col1a1
F1LS40,F1LS40,,Col1a2
M0RBJ7,M0RBJ7,,C3
Q62930,Q62930,,C9
F1M6C2,F1M6C2,,AABR07054368.1
B2GUZ5,B2GUZ5,,Capza1
P55053,P55053,,Fabp5
P02680,P02680,,Fgg
P04937,P04937,,Fn1
C0JPT7,C0JPT7,,Flna
Q2AC31,Q2AC31,,Ffar4
D3ZGY4,D3ZGY4,,AABR07025010.1
P06866,P06866,,Hp
P61980,P61980,,Hnrnpk
Q99PS8,Q99PS8,,Hrg
D4AEC0,D4AEC0,,H2az2
P20760,P20760,,Igg-2a
P20761,P20761,,Igh-1a
B2RYM3,B2RYM3,,Itih1
D3ZBS2,D3ZBS2,,Itih3
Q5PQU1,Q5PQU1,,Kng2
Q8K4K5,Q8K4K5,,Llgl1
P51886,P51886,,Lum
Q6AYC4,Q6AYC4,,Capg
D3ZBM2,D3ZBM2,,Rc3h2
Q64119,Q64119,,Myl6
P13084,P13084,,Npm1
P10111,P10111,,Ppia
Q63716,Q63716,,Prdx1
P35704,P35704,,Prdx2
P16617,P16617,,Pgk1
P25113,P25113,,Pgam1
M0R682,M0R682,,Actl11
Q62669,Q62669,,Hbb-b1
F1LNM4,F1LNM4,,C4a
P05942,P05942,,S100a4
P50116,P50116,,S100a9
D3ZWC6,D3ZWC6,,Sntb1
G3V852,G3V852,,Tln1
B4F7C2,B4F7C2,,Tubb4a
Q3KR94,Q3KR94,,Vtn
F1M8E9,F1M8E9,,Lyz2
Q5PPI5,Q5PPI5,,Rbm3
Q5RJR9,Q5RJR9,,Serpinh1
P05545,P05545,,Serpina3k
Q5M878,Q5M878,,Saa4
Q6AXY9,Q6AXY9,,Spz1
Q71SA3,Q71SA3,,Thbs1
D3ZLQ8,D3ZLQ8,,Usp20
M0R628,M0R628,,ENSRNOG00000068268
M0R5J4,M0R5J4,,Eno1-ps1
P04276,P04276,,Gc
F1LN88,F1LN88,,Aldh2
P02651,P02651,,Apoa4
P01257,P01257,,Calca
G3V9E3,G3V9E3,,Cald1
D3ZL24,D3ZL24,,Cast
G3V843,G3V843,,F2
P07335,P07335,,Ckb
Q4G044,Q4G044,,Fga
P14480,P14480,,Fgb
G3V7N2,G3V7N2,,Lgals5
Q68FP1,Q68FP1,,Gsn
Q6PDW8,Q6PDW8,,Gpx1
Q9WTT6,Q9WTT6,,Gda
G3V6P8,G3V6P8,,Gng12
G3V913,G3V913,,Hspb1
P63018,P63018,,Hspa8
Q64599,Q64599,,LOC286987
D3ZVK7,D3ZVK7,,H2ac4
D3ZJ08,D3ZJ08,,Hist2h3c2
G3V8L3,G3V8L3,,Lmna
D4AC69,D4AC69,,Lmln
Q6QI80,Q6QI80,,AABR07011744.1
P08494,P08494,,Mgp
Q5M7W5,Q5M7W5,,Map4
D3ZVB7,D3ZVB7,,Ogn
P08721,P08721,,Spp1
D3ZAF5,D3ZAF5,,Postn
O08591,O08591,,Hspg2
Q9JMB5,Q9JMB5,,Adrm1
Q5XIM5,Q5XIM5,,Cdv3
D3ZCJ7,D3ZCJ7,,Evi5l
D4A201,D4A201,,RGD1560186
Q5M7T5,Q5M7T5,,Serpinc1
B2RYJ5,B2RYJ5,,Tmprss13
Q5U4F0,Q5U4F0,,Rrp8
Q9QZK5,Q9QZK5,,Htra1
P09006,P09006,,Serpina3n
P02767,P02767,,Ttr
F1M3Q4,F1M3Q4,,AABR07001408.1
F1LST1,F1LST1,,Fn1
P31000,P31000,,Vim
P62630,P62630,,Eef1a1
P42930,P42930,,Hspb1
P84245,P84245,,H3-3b
Q63312,Q63312,,Phldb1
P48679,P48679,,Lmna
Q6AYZ1,Q6AYZ1,,Tuba1c
