Protein IDs,Filtered Protein IDs,Gene names,Remapped Gene Names,Reduced Gene Names
D3ZBM2,D3ZBM2,,Rc3h2,Rc3h2
Q64119,Q64119,,Myl6,Myl6
P13084,P13084,,Npm1,Npm1
P10111,P10111,,Ppia,Ppial4d
Q63716,Q63716,,Prdx1,Prdx1
P35704,P35704,,Prdx2,Prdx2
P16617,P16617,,Pgk1,Pgk1
P25113,P25113,,Pgam1,Pgam1
M0R682,M0R682,,Actl11,Actl11
Q62669,Q62669,,Hbb-b1,Hbb-b1
F1LNM4,F1LNM4,,C4a,C4a
P05942,P05942,,S100a4,S100a4
P50116,P50116,,S100a9,S100a9
D3ZWC6,D3ZWC6,,Sntb1,Sntb1
G3V852,G3V852,,Tln1,Tln1
B4F7C2,B4F7C2,,Tubb4a,Tubb4a
Q3KR94,Q3KR94,,Vtn,Vtn
F1M8E9,F1M8E9,,Lyz2,Lyz2
Q5PPI5,Q5PPI5,,Rbm3,Rbm3
Q5RJR9,Q5RJR9,,Serpinh1,Serpinh1
Q5M878,Q5M878,,Saa4,Hps5
Q6AXY9,Q6AXY9,,Spz1,Spz1
Q71SA3,Q71SA3,,Thbs1,Thbs1
D3ZLQ8,D3ZLQ8,,Usp20,Usp20
M0R628,M0R628,,ENSRNOG00000068268,ENSRNOG00000068268
M0R5J4,M0R5J4,,Eno1-ps1,AABR07052523.1
P04276,P04276,,Gc,Gc
F1LN88,F1LN88,,Aldh2,Acad10
P02651,P02651,,Apoa4,Apoa4
P01257,P01257,,Calca,Calca
G3V9E3,G3V9E3,,Cald1,Cald1
D3ZL24,D3ZL24,,Cast,Cast
G3V843,G3V843,,F2,F2
P07335,P07335,,Ckb,Ckb
Q4G044,Q4G044,,Fga,Fga
P14480,P14480,,Fgb,Fgb
G3V7N2,G3V7N2,,Lgals5,Lgals5
Q68FP1,Q68FP1,,Gsn,Gsn
Q6PDW8,Q6PDW8,,Gpx1,Gpx1
Q9WTT6,Q9WTT6,,Gda,Gda
G3V6P8,G3V6P8,,Gng12,Gng12
G3V913,G3V913,,Hspb1,Hspb1
P63018,P63018,,Hspa8,Hspa8
D3ZJ08,D3ZJ08,,Hist2h3c2,Hist2h3c2
G3V8L3,G3V8L3,,Lmna,Lmna
D4AC69,D4AC69,,Lmln,Lmln
Q6QI80,Q6QI80,,AABR07011744.1,AABR07011744.1
P08494,P08494,,Mgp,Mgp
Q5M7W5,Q5M7W5,,Map4,Map4
D3ZVB7,D3ZVB7,,Ogn,NEWGENE_1308171
P08721,P08721,,Spp1,Spp1
D3ZAF5,D3ZAF5,,Postn,Postn
O08591,O08591,,Hspg2,AABR07073181.1
Q9JMB5,Q9JMB5,,Adrm1,Adrm1
Q5XIM5,Q5XIM5,,Cdv3,Cdv3
D3ZCJ7,D3ZCJ7,,Evi5l,Evi5l
D4A201,D4A201,,RGD1560186,AABR07022157.1
Q5M7T5,Q5M7T5,,Serpinc1,Serpinc1
B2RYJ5,B2RYJ5,,Tmprss13,Tmprss13
Q5U4F0,Q5U4F0,,Rrp8,Rrp8
Q9QZK5,Q9QZK5,,Htra1,Htra1
P09006,P09006,,Serpina3n,RGD1565462
P02767,P02767,,Ttr,Ttr
F1M3Q4,F1M3Q4,,AABR07001408.1,AABR07001408.1
F1LST1,F1LST1,,Fn1,Fn1
P31000,P31000,,Vim,Vim
P62630,P62630,,Eef1a1,Eef1a1
P42930,P42930,,Hspb1,Hspb1
P84245,P84245,,H3-3b,H3-3b
Q63312,Q63312,,Phldb1,Phldb1
P48679,P48679,,Lmna,Lmna
Q6AYZ1,Q6AYZ1,,Tuba1c,Tuba1c
