Gene Names
Ptbp1
Col24a1
Kidins220
Ccl8
Cox8a
Ctns
Cxcl12
Praf2
Igfbp5
Ncam1
Tnc
Icam1
Tgfbr3
Hmgn1
Tgfb1i1
Wasl
Col1a1
Ctsk
Igf2r
Itgb2
Postn
Trp53rka
Ube2v2
Trp53rkb
Smad4
Psme1
Igtp
Irgq
Ctgf
Otud7b
Ppat
Cd68
Bmp1
Gja1
Oplah
Trmt112
Pir
Mvk
Pdgfrb
Rab2a
Apoe
Gsta4
Aspscr1
Cdh11
Hist1h4m
H2afy
Ogfr
Specc1
Itgb1
Col1a2
Reps2
Srd5a3
Hgd
Abhd10
Gusb
Specc1l
Gns
Comp
H2afx
Hnrnpk
Ctsc
Ptges2
Afg3l1
Prkacb
Clca3a1
Cherp
Nid1
Arf3
Pde12
Smad2
Klhl9
Dok2
Myh9
Sptan1
Gnao1
Vdac2
Cd63
Igf1
Scrn1
Fcgr4
Mturn
Psap
Lrch4
Wdr92
Igfbp3
Hcfc1
Cd47
Clec10a
Smcr8
Dpy30
Rab1b
Nup50
Stom
Guf1
Fcho2
Pdlim1
Snrpd1
Prkar2b
Fyco1
Cav1
Src
Fhl1
Ap2s1
Nhlrc3
Cbr2
Srrm1
Gpnmb
Isoc2a
Mlec
Spns1
Cln3
Sepsecs
Phldb2
Crlf3
Itm2b
S100a6
Hexa
Plbd2
Mrps17
Qrsl1
Arf1
Col12a1
Lbp
Ndrg2
Ints4
Lrrc8a
Tmem176b
Rab4b
Tmem104
2310011J03Rik
Wipi2
Pc
Usp19
Cpsf4
Gdpd1
Dhx58
Wfdc17
Vdac1
Prdx2
Sympk
Cops7b
Ctc1
Gxylt1
Mtx2
Hist1h1e
Rhog
Epn1
Prepl
Cnn2
Romo1
Hmgn2
Dnajc5
Snrpe
C1qbp
Slc9a9
Stk10
Mapk7
Cycs
Gnb2
F9
Npm3
Ctss
Lhpp
Suox
Wdfy1
Dpep1
Myl12a
Fam98a
Asah1
Rbbp9
Vamp3
Mrps18b
Eml4
Pfdn5
Fdx1
Lgals1
Cox7c
2310022B05Rik
Igfbp4
Hpse
Hexb
Mocs3
Eipr1
Gna11
Ndufa3
Sgcd
Dap
Coro1c
Plek
Pgpep1
Impact
Frmd8
Gnb1
Epg5
Mtch2
Uqcrh
Ctsh
Endod1
Creg1
Bphl
Idh1
Srsf10
Glul
Rtn3
Dynll2
Cyp1b1
Myadm
Anxa1
Pls3
Ccl9
Prrc2a
Hebp1
Npc1
Trpv2
Selenbp1
Rap2b
Atp6v0c
Rap1b
Slc4a1ap
Ufl1
Gm2a
Hadha
Glrx
Akap9
Trmt6
Inpp1
Slc29a3
Hbs1l
Tulp3
Scpep1
Gstm1
Arhgap10
Rpl24
Fcgrt
Dram2
Ppt1
Npr3
Cnot3
Nudt16
Plekhm1
Cnrip1
Kyat1
Cttn
Gsto1
Snx3
Spp2
Rpl10
Ptdss1
Mcm4
Naglu
Rabggtb
Enpp4
Tmem160
Hal
Sec16a
Anxa2
Lamp2
Wdr45b
Plin4
Pgam1
Vkorc1
Unc93b1
Tor1b
Eif2b1
Cst3
Tox4
Abcd4
Grn
Gm44084
Fas
Mgst3
Galc
Plgrkt
Gtpbp1
Luc7l3
Nek9
Maoa
Mettl7a1
S100a10
Cops8
Nfu1
Cryz
Lrrc57
Slc31a1
Sf3b2
Sh3kbp1
Tamm41
Gnaq
Mtfr1l
Cab39
Ca3
Gga2
Hk1
Serpinb6
Taok3
Igfbp7
Rad23b
Crbn
S100a11
Fcgr2b
Dysf
Rbm42
Stard5
Dbi
Hist1h1c
Khsrp
Rdh14
Hnrnpul1
Oxct1
Ctbs
Sf3b6
Idh3b
Acadsb
Fmo3
Gmfb
Gm16286
Aldh2
Ifi202
Prdx3
Uck1
Kras
Tecpr1
Mdp1
Dnttip2
Kdelc2
Iscu
Rpl35a
Rbm17
Mvd
Arhgap25
Pdpk1
Lonp1
Txlna
Adss
Hnmt
Msra
Ebp
Nfatc2
Thop1
Oas1g
Slc25a22
Nbdy
Havcr2
Cntn1
Adgre1
Eif2b5
Grcc10
Rab4a
Rufy3
Asna1
Dgkz
Mecp2
Gfpt1
Chmp7
Triobp
U2af1
Rpl14
Magt1
Ergic3
Safb
Snrpa1
Slc39a14
Pml
